Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket
1,HUTAN LINDUNG SUNGAI WAIN (HLSW),Hutan Lindung Sungai Wain (HLSW) merupakan salah satu objek wisata alam yang berada di Jalan Soekarno-Hatta Kecamatan Balikpapan Utara. HLSW adalah perpaduan objek wisata Hutan dan Sungai. Hutan itu sendiri terdiri dari hutan primer (hutan asli) dan hutan sekunder (hutan buatan) sebagai hutan pengganti yang terbakar pada tahun 1997/1998.,WISATA ALAM,Kota Balikpapan,4.6,pemandangan alam,15000
2,KAWASAN WISATA PENDIDIKAN LINGKUNGAN HIDUP (KWPLH),Kawasan Wisata Pendidikan Lingkungan Hidup (KWPLH) terletak di Km.23 Jalan raya Balikpapan-Samarinda. Kawasan ini merupakan kawasan konservasi Beruang Madu atau yang dikenal dengan nama ilmiah “Helarctos Malayanus” . Hewan ini tergolong salah satu satwa yang dilindungi didunia. KWPLH memiliki 5 (lima) ekor beruang madu yang kesemuannya merupakan beruang yang pernah ditangkap dan dikomersialisasikan oleh pihak-pihak yang tidak bertanggungjawab.,WISATA ALAM,Kota Balikpapan,4,pemandangan alam,Gratis
3,MANGROVE CENTER GRAHA INDAH,Hutan Mangrove Graha Indah merupakan wilayah konservasi pohon bakau dan satwa endemik Kalimantan. Destinasi wisata disini akan memberikan pengalaman yang berbeda dari objek wisata biasanya. Daya tarik utama yang bisa Anda dapatkan ketika mengunjungi Graha Indah Hutan Mangrove ialah fasilitas menaiki perahu untuk menyusuri Sungai Somber. Di sepanjang perjalanan Anda akan disuguhkan panorama hijaunya pemandangan hutan mangrove sejauh mata memandang. Di sana Anda juga akan melihat beberapa hewan endemik Kalimantan yakni Bekantan. Hal inilah yang juga menjadi daya tarik utama Hutan Mangrove Graha Indah.,WISATA ALAM,Kota Balikpapan,4.5,mangrove,15000
4,KEBUN RAYA BALIKPAPAN (KRB),Kebun Raya Balikpapan merupakan salah satu objek wisata di kota Balikpapan. Pemerintah Kota Balikpapan bekerjasama dengan Pusat Konservasi Tumbuhan Kebun Raya Bogor dan Balai Besar Penelitian Dipterocarpaceae Dephut untuk kegiatan pembangunan Kebun Raya Balikpapan. Keberadaan Kebun Raya Balikpapan terletak di Kawasan Hutan Lindung Sungai Wain,WISATA ALAM,Kota Balikpapan,4.5,Kebun Binatang,15000
5,MANGROVE MARGO MULYO,"Hutan mangrove merupakan hutan buatan yang bisa sebagai tempat tinggal yang cocokntuk flora dan fauna asli Kalimantan. Memiliki habitat asli membuat para hewan serta tumbuhan ini dapat berkembang dengan sangat baik. Sehingga para pengunjung dapat berjumpa langsung. Salah satu hewan yang sering muncul, yaitu Bekantan yang jadi spesies asli Kalimantan.",WISATA ALAM,Kota Balikpapan,4.2,Mangrove,15000
6,KAWASAN EKOWISATA TELUK BALIKPAPAN,"Teluk Balikpapan adalah kawasan padat objek wisata yang terletak di Provinsi Kalimatan Timur, tepatnya sebelah utara Kota Balikpapan dan sebelah barat Kabupaten Penajam Paser Utara. Disana terdapat Keindahan jembatan Balangan membentang di atas teluk yang menghubungkan Panajam Paser Utara dan Balikpapan . Banyaknya jenis ikan yang ada di Teluk Balikpapan juga bisa menjadi area memancing bagi wisatawan.",WISATA ALAM,Kota Balikpapan,4,Pemandangan alam,15000
7,EKOWISATA MANGROVE KARIANGAU,"Hutan Mangrove Center Kariangau menyewakan perahu klotok untuk berkeliling menyusuri sungai Somber selama 1 jam bolak-balik dan tentunya ditemani oleh tur guide. Untuk menyewa perahu dihargai sekitar Rp. 300 ribu per perahu (*) bisa di isi sampai 10 orang. Kita bisa melihat bekantan yang jumlahnya cukup banyak, terutama saat menjelang sore, banyak tampak keluarga bekantan yang keluar mencari makan di pucuk pohon Mangrove yang menjulang. kanan kiri rimbun hutan mangrove,",WISATA ALAM,Kota Balikpapan,4.5,Mangrove,15000
8,PENANGKARAN BUAYA TERITIP,Di penangkaran buaya ini pengunjung bisa menikmati sensasi memberi makan buaya. Pengunjung bisa membeli ayam yang disediakan di sini kemudian menuju ke rawa buatan untuk melemparkan ayam yang akan disambut oleh buaya-buaya lapar.,WISATA BUATAN,Kota Balikpapan,4.1,Kebun Binatang,20000
9,CARRIBEAN ISLAND WATERPARK REGENCY,"CARIBBEAN Waterpark Balikpapan menawarkan konsep taman air berbeda. Mengusung tema kepulauan Karibia, water park yang sangat cocok sebagai destinasi rekreasi keluarga. Menawarkan beragam keseruan di berbagai wahana permainan air dan kolam.",WISATA BUATAN,Kota Balikpapan,4.2,Kolam berenang,50000
10,WATERPARK GRIYA PERMATA ASRI,Waterpark dekat dengan pusat kota,WISATA BUATAN,Kota Balikpapan,3,Kolam Berenang,60000
11,JEMBATAN ULIN KARIANGAU,jembatan kayu ulin sepanjang lebih kurang 800 meter dan lebar 2 meter ini bisa menyaksikan hilir mudik kapal fery dari pelabuhan Kariangau ke Penajam Paser Utara dan sebaliknya.,WISATA BUATAN,Kota Balikpapan,3,Jembatan,Gratis
12,KAMPUNG ATAS AIR MARGASARI,"Daerah kampung ini terbilang sangat bersih dengan jembatan kayu ulin yang menjadi jalan utama dari kampung. Sementara di bagian kiri dan kanan kayu ulin tersebut terdapat beberapa aliran air laut yang menggenang. Meskipun demikian, warga pun senantiasa menjaga kebersihan kampung atas air mereka dengan melakukan kerja bakti pada hari hari tertentu.",WISATA BUATAN,Kota Balikpapan,4.4,Kampung,Gratis
13,KAMPUNG WARNA WARNI TELUK SERIBU,"Di sini, seluruh rumah-rumah bercat beraneka ragam warna sampai ke atap-atapnya. Selain mengecat rumah, seniman juga membuat lukisan 3 dimensi di dinding sepanjang 100 meter. Dinding ini terletak di sepanjang jalan menuju ke perkampungan. Meski sudah ada, hal yang membedakan dengan yang lain yaitu jalur aksesnya. Untuk sampai ke sini, pengunjung harus menyusuri Teluk Seribu. Selain itu, tak jauh dari perkampungan terdapat juga hutan mangrove dengan habitat bekantan yang masih asli.",WISATA BUATAN,Kota Balikpapan,4.1,Kampung,3000
14,AQUA BOOM,Satu-satunya waterpark yang dibangun di atas gedung bertingkat di Indoesia,WISATA BUATAN,Kota Balikpapan,4.2,Kolam berenang,95000
15,TAMAN BEKAPAI,"Taman Bekapai adalah salah satu tempat yang sangat cocok untuk dijadikan tempat bersantai. Suasana sejuk dan rindang di tengah kesibukan kota ini mampu membuatmu melupakan masalah sejenak, sembari memulihkan tenaga yang telah hilang saat sibuk bekerja.",WISATA BUATAN,Kota Balikpapan,4.3,Taman,Gratis
16,TAMAN TIGA GENERASI,"Taman Tiga Generasi ini mendukung beragam kegiatan yang dapat dilakukan. Adapun Anda tidak akan di buat bingung melakukan banyak hal selama berkunjung. Perlu diketahui bahwa ada beberapa fasilitas untuk bermain anak-anak. Misalnya papan perosotan, ayunan dan lain-lain. ",WISATA BUATAN,Kota Balikpapan,4.5,Taman,Gratis
17,WADUK MANGGAR,Waduk Manggar di Balikpapan merupakan danau buatan dengan keindahan alam yang tersaji mampu menghipnotis pengunjung untuk berlibur atau sekedar bersantai saat akhir pekan.,WISATA BUATAN,Kota Balikpapan,4.9,Waduk,5000
18,KAMPOENG KENANGAN,"Lokasinya dirancang secara unik penuh warna-warni dengan konsep nuansa zaman dahulu, pengunjung akan merasa puas mendapat gambar kenangan yang indah di lokasi Wisata Kampung Kenangan.",WISATA BUATAN,Kota Balikpapan,4,Kampung,Gratis
19,KAMPUNG PINISI,"Pengunjung akan merasakan suasana asri yang menampilkan rumah dengan cat warna-warni. Beragam mural atau lukisan dinding menghiasi dinding sejumlah rumah, ketika memasuki gang pemukiman.",WISATA BUATAN,Kota Balikpapan,4.5,Kampung,15000
20,KAMPUNG KANGKUNG,"Kampung Wisata Kang Bejo merupakan tempat kunjungan wisata pertama memberikan edukasi tentang makanan di Balikpapan. Tempat ini memiliki daya tarik yang unik dan khas, dapat dinikmati sembari menambahkan nilai dan manfaat. Meski kangkung bukan sayuran khas daerah Balikpapan, namun tumbuhan yang dapat diolah dengan beragam ini mampu membawa daya tarik pengunjung hingga Kampung Kang Bejo terkenal akan kangkungnya. Kreativitas kampung wisata ini sudah terlihat dari pemberian namanya “Kang Bejo” yang berarti “Kangkung Sumber Rejo”. Kangkung digunakan sebagai nama dari tempat ini karena merupakan komoditas utama yang diproduksi di Kampung Wisata ini. Terlihat adanya keunikan dan khas suatu nama makanan yang dikombinasi dengan lokasi wisata itu sendiri.",WISATA BUATAN,Kota Balikpapan,4.6,Kampung,Gratis
21,GIFTA GARDEN,"Gifta Garden dikelilingi bangunan restoran berbentuk lamin, sepanjang perjalanan di sisi kanan-kiri lahan berwarna hijau itu ditanami aneka pohon, buah, serta bunga. Membuat pengunjung diajak lebih dekat dengan alam terbuka. Sekaligus mendapat edukasi, dengan mengenal flora dan fauna.  Gifta Garden banyak wahana-wahana yang ditawarkan ke pengunjung antara lain pertama ada restoran dengan makanan yang sederhana seperti soto, pecel, rawon dan sebagainya. Kemudian di sana ada pengembangbiakan tanaman hidroponik selada, sawi, kangkung dan lain sebagainya.",WISATA BUATAN,Kota Balikpapan,4.3,Agrowisata,50000
22,ISLAMIC CENTER,"Masjid Islamic Center Balikpapan. Masjid ini juga dikenal sebagai Masjid Madinatul Iman. Tak dapat dipungkiri, ini masjid terbaru, terbesar, dan termegah di Balikpapan, mengalahkan masjid termegah sebelumnya, Masjid Agung At Taqwa. Masjid berlokasi di Jl. Belibis Raya, Gn Bahagia, Balikpapan Selatan, berjarak sekitar 12 km dari pusat kota, arah Timur Laut.",WISATA RELIGI,Kota Balikpapan,4.8,Tempat Ibadah,Gratis
23,MAHAVIHARA BUDDHA MANGGALA,"Berwisata ke Mahavihara Buddha manggala seperti berlibur ke Thailand. Terdapat patung gajah putih dan patung Budda tertidur. Sementara di sisi lain, terdapat patung Kinara Kinari, stupa seperti yang ada di Candi Borobudur, dan lain sebagainya Lokasinya berada di pusat kota Batu Ampar Balikpapan. Namun, lantaran tempat ini masih digunakan sebagai peribadatan, sebaiknya siapapun yang berkunjung harus mentaati dan menghormati peraturan yang ada di dalamnya. ",WISATA RELIGI,Kota Balikpapan,4.6,Tempat Ibadah,Gratis
24,MASJID JAMI AL'ULA,"Masjid ini berlokasi di Jalan Letjen Suprapto RT 15 No 1 Kelurahan Baru Ulu Balikpapan Barat. Berada di kawasan pemukiman yang didiami mayoritas warga Bugis – Makassar. Masjid ini sebagai tonggak sejarah penyebaran agama Islam di Balikpapan. Seperti namanya, ""Ula"" berarti pertama atau awal. Ia merupakan bangunan pertama tempat ibadah umat Islam di Balikpapan.",WISATA RELIGI,Kota Balikpapan,4.8,Tempat Ibadah,Gratis
25,MASJID AGUNG AT TAQWA,"Masjid ini adalah salah satu masjid termegah di Kalimantan Timur. Kompleks masjid terdiri dari tiga lantai. Di Lantai 2 terdapat bangunan utama seluas 5.268 m2 dengan kapasitas tak kurang dari 4 ribu orang. Sedangkan bangunan penunjang seluas 4.426 m2.
Pada lantai dasar, bangunan utama seluas 2.004 m2, terdapat tempat penitipan barang dan tempat wudhu. Ada juga aula dan panggung yang kerap digunakan sebagai resepsi akad nikah. Lantai dasar dapat menampung 800 jamaah.
Lantai 2 adalah lantai utama masjid. Ruang imam, perpustakan dan gudang peralatan tersedia. Dengan luas 1.632 m2, lantai utama dapat menampung seribu orang. Pada lantai 3 terdapat void dengan desain dan perpaduan warna yang sangat menarik. Selain itu terdapat perpustakaan dan ruang untuk pengajar TK-TPA At-Taqwa. Lantai ini dapat menampung tidak lebih 700 jama’ah. ",WISATA RELIGI,Kota Balikpapan,4.8,Tempat Ibadah,Gratis
