Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket,Images
1,Hutan Lindung Sungai Wain (HLSW),Hutan Lindung Sungai Wain (HLSW) merupakan salah satu objek wisata alam yang berada di Jalan Soekarno-Hatta Kecamatan Balikpapan Utara. HLSW adalah perpaduan objek wisata Hutan dan Sungai. Hutan itu sendiri terdiri dari hutan primer (hutan asli) dan hutan sekunder (hutan buatan) sebagai hutan pengganti yang terbakar pada tahun 1997/1998.,Wisata Alam,Kota Balikpapan,4.6,Pemandangan Alam,15000,HLSW.png
2,Kawasan Wisata Pendidikan Lingkungan Hidup (KWPLH),Kawasan Wisata Pendidikan Lingkungan Hidup (KWPLH) terletak di Km.23 Jalan raya Balikpapan-Samarinda. Kawasan ini merupakan kawasan konservasi Beruang Madu atau yang dikenal dengan nama ilmiah “Helarctos Malayanus” . Hewan ini tergolong salah satu satwa yang dilindungi didunia. KWPLH memiliki 5 (lima) ekor beruang madu yang kesemuannya merupakan beruang yang pernah ditangkap dan dikomersialisasikan oleh pihak-pihak yang tidak bertanggungjawab.,Wisata Alam,Kota Balikpapan,4,Pemandangan Alam,Gratis,KWPLH.png
3,Mangrove Center Graha Indah,Hutan Mangrove Graha Indah merupakan wilayah konservasi pohon bakau dan satwa endemik Kalimantan. Destinasi wisata disini akan memberikan pengalaman yang berbeda dari objek wisata biasanya. Daya tarik utama yang bisa Anda dapatkan ketika mengunjungi Graha Indah Hutan Mangrove ialah fasilitas menaiki perahu untuk menyusuri Sungai Somber. Di sepanjang perjalanan Anda akan disuguhkan panorama hijaunya pemandangan hutan Mangrove sejauh mata memandang. Di sana Anda juga akan melihat beberapa hewan endemik Kalimantan yakni Bekantan. Hal inilah yang juga menjadi daya tarik utama Hutan Mangrove Graha Indah.,Wisata Alam,Kota Balikpapan,4.5,Mangrove,15000,Mangrove Center Graha.png
4,Kebun Raya Balikpapan (KRB),Kebun Raya Balikpapan merupakan salah satu objek wisata di kota Balikpapan. Pemerintah Kota Balikpapan bekerjasama dengan Pusat Konservasi Tumbuhan Kebun Raya Bogor dan Balai Besar Penelitian Dipterocarpaceae Dephut untuk kegiatan pembangunan Kebun Raya Balikpapan. Keberadaan Kebun Raya Balikpapan terletak di Kawasan Hutan Lindung Sungai Wain,Wisata Alam,Kota Balikpapan,4.5,Kebun Binatang,15000,KRB.png
5,Mangrove Margo Mulyo,"Hutan Mangrove merupakan hutan buatan yang bisa sebagai tempat tinggal yang cocokntuk flora dan fauna asli Kalimantan. Memiliki habitat asli membuat para hewan serta tumbuhan ini dapat berkembang dengan sangat baik. Sehingga para pengunjung dapat berjumpa langsung. Salah satu hewan yang sering muncul, yaitu Bekantan yang jadi spesies asli Kalimantan.",Wisata Alam,Kota Balikpapan,4.2,Mangrove,15000,Mangrove Margo Mulyo.png
6,Kawasan Ekowisata Teluk Balikpapan,"Teluk Balikpapan adalah kawasan padat objek wisata yang terletak di Provinsi Kalimatan Timur, tepatnya sebelah utara Kota Balikpapan dan sebelah barat Kabupaten Penajam Paser Utara. Disana terdapat Keindahan jembatan Balangan membentang di atas teluk yang menghubungkan Panajam Paser Utara dan Balikpapan . Banyaknya jenis ikan yang ada di Teluk Balikpapan juga bisa menjadi area memancing bagi wisatawan.",Wisata Alam,Kota Balikpapan,4,Pemandangan Alam,15000,KETB.png
7,Ekowisata Mangrove Kariangau,"Hutan Mangrove Center Kariangau menyewakan perahu klotok untuk berkeliling menyusuri sungai Somber selama 1 jam bolak-balik dan tentunya ditemani oleh tur guide. Untuk menyewa perahu dihargai sekitar Rp. 300 ribu per perahu (*) bisa di isi sampai 10 orang. Kita bisa melihat bekantan yang jumlahnya cukup banyak, terutama saat menjelang sore, banyak tampak keluarga bekantan yang keluar mencari makan di pucuk pohon Mangrove yang menjulang. kanan kiri rimbun hutan Mangrove,",Wisata Alam,Kota Balikpapan,4.5,Mangrove,15000,EMK.png
8,Penangkaran Buaya Teritip,Di penangkaran buaya ini pengunjung bisa menikmati sensasi memberi makan buaya. Pengunjung bisa membeli ayam yang disediakan di sini kemudian menuju ke rawa buatan untuk melemparkan ayam yang akan disambut oleh buaya-buaya lapar.,Wisata Buatan,Kota Balikpapan,4.1,Kebun Binatang,20000,Penangkaran Buaya Tertitip.png
9,Carribean Island Waterpark Regency,"CARIBBEAN Waterpark Balikpapan menawarkan konsep Taman air berbeda. Mengusung tema kepulauan Karibia, water park yang sangat cocok sebagai destinasi rekreasi keluarga. Menawarkan beragam keseruan di berbagai wahana permainan air dan kolam.",Wisata Buatan,Kota Balikpapan,4.2,Kolam berenang,50000,Carribean Island Waterpark Regency.png
10,Waterpark Griya Permata Asri,"Waterpark Griya Permata Asri memiliki desain dengan baik, aman, terawat, air jernih serta dilengkapi fasilitas yang lengkap seperti kantin, kamar ganti dan kamar mandi.",Wisata Buatan,Kota Balikpapan,3,Kolam Berenang,60000,Waterpark Griya Permata Asr.png
11,Jembatan Ulin Kariangau,jembatan kayu ulin sepanjang lebih kurang 800 meter dan lebar 2 meter ini bisa menyaksikan hilir mudik kapal fery dari pelabuhan Kariangau ke Penajam Paser Utara dan sebaliknya.,Wisata Buatan,Kota Balikpapan,3,Jembatan,Gratis,Jembatan Ulin Kariangau.png
12,Kampung Atas Air Margasari,"Daerah Kampung ini terbilang sangat bersih dengan jembatan kayu ulin yang menjadi jalan utama dari Kampung. Sementara di bagian kiri dan kanan kayu ulin tersebut terdapat beberapa aliran air laut yang menggenang. Meskipun demikian, warga pun senantiasa menjaga kebersihan Kampung atas air mereka dengan melakukan kerja bakti pada hari hari tertentu.",Wisata Buatan,Kota Balikpapan,4.4,Kampung,Gratis,Kampung Atas Air Margasari.png
13,Kampung Warna Warni Teluk Seribu,"Di sini, seluruh rumah-rumah bercat beraneka ragam warna sampai ke atap-atapnya. Selain mengecat rumah, seniman juga membuat lukisan 3 dimensi di dinding sepanjang 100 meter. Dinding ini terletak di sepanjang jalan menuju ke perKampungan. Meski sudah ada, hal yang membedakan dengan yang lain yaitu jalur aksesnya. Untuk sampai ke sini, pengunjung harus menyusuri Teluk Seribu. Selain itu, tak jauh dari perKampungan terdapat juga hutan Mangrove dengan habitat bekantan yang masih asli.",Wisata Buatan,Kota Balikpapan,4.1,Kampung,3000,KWWTS.png
14,Aqua Boom,"Wisata Aquaboom BSB merupakan satu satunya wisata air yang memiliki lokasi di gedung lantai 7 dan menjadi satu dengan bangunan hotel dan mal. Tak hanya itu, ada banyak sekali keunikan yang ditawarkan objek wisata tersebut. ",Wisata Buatan,Kota Balikpapan,4.2,Kolam berenang,95000,Aqua Boom.png
15,Taman Bekapai,"Taman Bekapai adalah salah satu tempat yang sangat cocok untuk dijadikan tempat bersantai. Suasana sejuk dan rindang di tengah kesibukan kota ini mampu membuatmu melupakan masalah sejenak, sembari memulihkan tenaga yang telah hilang saat sibuk bekerja.",Wisata Buatan,Kota Balikpapan,4.3,Taman,Gratis,Taman Bekapai.png
16,Taman Tiga Generasi,"Taman Tiga Generasi ini mendukung beragam kegiatan yang dapat dilakukan. Adapun Anda tidak akan di buat bingung melakukan banyak hal selama berkunjung. Perlu diketahui bahwa ada beberapa fasilitas untuk bermain anak-anak. Misalnya papan perosotan, ayunan dan lain-lain. ",Wisata Buatan,Kota Balikpapan,4.5,Taman,Gratis,Taman Tiga Generasi.png
17,Waduk Manggar,Waduk Manggar di Balikpapan merupakan danau buatan dengan keindahan alam yang tersaji mampu menghipnotis pengunjung untuk berlibur atau sekedar bersantai saat akhir pekan.,Wisata Buatan,Kota Balikpapan,4.9,Waduk,5000,Waduk Manggar.png
18,Kampoeng Kenangan,"Lokasinya dirancang secara unik penuh warna-warni dengan konsep nuansa zaman dahulu, pengunjung akan merasa puas mendapat gambar kenangan yang indah di lokasi Wisata Kampung Kenangan.",Wisata Buatan,Kota Balikpapan,4,Kampung,Gratis,Kampung Kenangan.png
19,Kampung Pinisi,"Pengunjung akan merasakan suasana asri yang menampilkan rumah dengan cat warna-warni. Beragam mural atau lukisan dinding menghiasi dinding sejumlah rumah, ketika memasuki gang pemukiman.",Wisata Buatan,Kota Balikpapan,4.5,Kampung,15000,Kampung Pinisi.png
20,Kampung Kangkung,"Kampung Wisata Kang Bejo merupakan tempat kunjungan wisata pertama memberikan edukasi tentang makanan di Balikpapan. Tempat ini memiliki daya tarik yang unik dan khas, dapat dinikmati sembari menambahkan nilai dan manfaat. Meski kangkung bukan sayuran khas daerah Balikpapan, namun tumbuhan yang dapat diolah dengan beragam ini mampu membawa daya tarik pengunjung hingga Kampung Kang Bejo terkenal akan kangkungnya. Kreativitas Kampung wisata ini sudah terlihat dari pemberian namanya “Kang Bejo” yang berarti “Kangkung Sumber Rejo”. Kangkung digunakan sebagai nama dari tempat ini karena merupakan komoditas utama yang diproduksi di Kampung Wisata ini. Terlihat adanya keunikan dan khas suatu nama makanan yang dikombinasi dengan lokasi wisata itu sendiri.",Wisata Buatan,Kota Balikpapan,4.6,Kampung,Gratis,Kampung Kangkung.png
